Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,I would go to the beach.,13.141534462245785,0.7375215,I would go to the beach and swim in the ocean.,I would go to the beach and go swimming.
We stay up three thirty night.,We stayed up till like three thirty last night.,I don't want to go to bed.,5.222206395555872,0.7582873,I don't want to go to bed early.,I don't want to sleep.
So those means that its parent.,So that means that most of your parents.,So those means that its parent.,42.97072640684582,0.83389163,So those means that its mother.,So those means that its parent is a.
If you have studio apartment you are stuck it.,If you have a studio apartment you are stuck with it.,If you have a one bedroom apartment you are stuck it.,64.61990235999848,0.91205907,If you have a one bedroom apartment you are stuck with it.,If you have a one bedroom apartment you are lucky.
This looks good.,That looks good.,I'm going to eat it.,9.432035662605609,0.7625352,I'm going to take a bite.,I'm going to eat it with a spoon.
When they quit going lewiston week.,When they quit going to lewiston every week.,Lewiston is a town in southeastern Maine.,24.009858523562645,0.72781384,Lewiston is a small town with a population of about.,"Lewiston is a small town with a population of about 3,000."
This bothers me great deals.,That bothers me a great deal.,I'm very upset about it.,10.122205062781173,0.87824667,I'm very picky about my food.,I'm very picky about my burgers.
And do their things.,And to do their things.,They come and go and do their things.,64.37874374357905,0.81752825,They come and go and do their thing.,They come and go.
Check everything out.,Checked everything out.,You'll want to make sure it's in working order.,16.676582615040086,0.7491418,You'll want to make sure it's in good shape.,You'll want to make sure it's in good condition.
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They are pretty naive.,17.999223161171198,0.6933195,They are pretty naive about what is going on.,They are pretty naive about what is going to happen.
It will be kind a pain getting.,It will be kind of a pain getting the.,I am going to need a new pair of shoes.,17.5179407650672,0.73378414,I need to get a new tire put on my car.,I need to get a new car.
And we take him.,And we took him to the.,And we take him.,32.14418258878313,0.8846668,And we take him home.,And we take him home with us.
Have decide that is his herd.,Has decided that is his mare herd.,Have decide that is his herd.,52.51652570107027,0.93534464,Have decide that is his herd.,Have decide that it is his herd.
And they do not have third editors.,And then they do not have the third editor.,They are not snobs.,10.31178937210567,0.627799,They are not snooty.,They are not censors.
But i have go.,But i have to go.,I'm sorry.,2.7322404371584703,0.7725478,I'm sorry to leave you.,I'm sorry to leave you alone.
One and she is got a lot.,To this one and she is still got a lot more.,She is got a lot of money.,26.339303049047597,0.812554,She is got a lot.,She is got a lot.
Oh you need huhs.,Oh you needed that huh.,Huhs,4.794281729428172,0.72731096,Huh.,Huhs are a lot of fun.
So there be a history here.,So there is a long history here.,I'm not sure if it's a good thing or a bad thing.,16.061034324410457,0.6426643,"I'm not sure if it's a good thing or a bad thing, but it's ","I'm not sure if it's a good thing or a bad thing, but it's interesting"
I mean kid was he looked like.,I mean this kid was he looked like a.,I mean kid was he looked like.,70.60066019594228,0.94567597,I mean kid was he looked like,I mean kid was he looked like he was.
But i do know if this was number two.,But i do not know if this was really number two.,I don't know if this was number two.,58.826885656175186,0.97410154,I don't know if this was number one.,I don't know if it was number two.
Because you can like see years ago.,Because you cannot like see the material years ago.,You can like see a lot of time ago.,27.324193906464522,0.82665163,You can like see a lot of time.,You can like see a picture of a girl.
It was do my point of that be.,So it was done my point of all that was.,It was do my point of that be.,43.526224124747266,0.8663864,It was do my point.,It was do my point of that be that.
I would say,I would say not.,I am a sarcastic person because I am always sarcastic.,11.263020057147171,0.59225386,I am a sarcastic person because I am always sarcastic when I speak.,I am a sarcastic person because I am always sarcastic when I am speaking.
You can wait.,You can wait.,I'm going to get some ice cream.,8.333333333333334,0.70326614,I'm going to get some coffee.,I'm going to get ready.
I get it.,I got it.,I'm just a little nervous about it.,19.21390787567858,0.7013587,I'm just a little confused about how to go about it.,I'm just a little confused about how to do it.
Because my fuel pump be electric used be.,Because my fuel pump is now electric never used to be.,Because my fuel pump be electric used be.,57.23852507941527,0.9217287,Because my fuel pump be electric used be.,Because my fuel pump be electric used be.
Alright you little shit i be going throw you wall.,Alright you little shit i am going to throw you against this wall.,You fucking shit.,7.698696404481348,0.7775223,You fucking liar.,You fucking liar!
Those be things i said.,That was the first thing i said.,I told you.,2.212389380530974,0.7891318,I told them to say it.,I told them to say.
Bring the bottle.,Bring the bottles.,"It's a bottle of wine, not a bottle of scotch.",25.684809656043534,0.7540844,"It's a bottle of wine, not a bottle of beer.","It's a bottle of wine, not a bottle of wine."
You do it.,You did it too much.,I'm a thief. I'm a thief. I'm a,6.62878787878788,0.7119312,"I'm a thief, and you're a thief.",I'm a thief. I'm a thief.
I have it store.,I have it at the store.,It is a toy.,10.424057518565819,0.7165344,I can't get it.,"It is a toy, but I have it."
It take lo time teach them to work.,It takes a lo time to teach them how to work together.,It take lo time teach them to work.,47.270234468447775,0.94537574,It take lo time to teach them to work.,It take lo time teach them to drive.
There is like tamara that shop.,There is like tamara that sandwich shop.,Tamara is a very beautiful girl.,16.23749835621506,0.78514844,Tamara is a sweet person.,Tamara is a very good customer.
I mean greg.,I mean greg.,Greg is a jerk.,15.146162586509659,0.8385354,greg is a fucking idiot.,greg
Then winds died and it be calm.,Then the wind died down and it was completely calm.,I sat on the porch and drank a glass of wine.,16.242292279070305,0.6240467,I sat on the porch and drank a glass of lemonade.,I sat on the porch and drank a cup of coffee.
You probably could get todays.,You probably could not get that today.,Todays is a good day to go to the store.,15.95031628482364,0.6887892,Todays is a good day to go to the park.,Todays is a good day to go to the market.
I go and see their house night.,I went and saw their house the other night.,I like to see their house.,31.324454286934312,0.84652233,I like to go to the movies.,I like to go to the house.
There be just one.,No there is just one.,I don't know what to do.,8.737512626041466,0.6732755,I don't know why.,I don't know what to say.
Thaand these is that kick on side like that water.,Thaand that is that kicked up on the side like that the water.,Thaand these is that kick on side like that water.,59.94567999314457,0.93766785,Thaand these is that kick on side like that water.,Thaand these is that kick on side like that water
They are than i think.,They are higher than i thought.,They are a lot more sexy than i think.,40.60317592264908,0.8250307,They are a lot more sexy than i thought.,They are a lot more sexy.
And i will hand your documents.,And i will hand back your documents.,I'm waiting for you here.,10.726965795310901,0.74758476,I'm waiting for you to come.,I'm waiting for you here at the office.
Which show that my lack history.,Which shows that my lack of history.,Which show that my lack history.,71.56781347953867,0.97126526,Which show that my lack of history.,Which show that my lack history.
So you got go this time.,So you got to go this time.,I hope you don't get in a car accident on the way home.,18.018035592570307,0.68558586,I hope you don't get in a car accident.,I hope you don't get in a car accident on the way.
Like shoots say twentyfive or.,Like shoot for say twentyfive or.,Like shoots say twentyfive or.,79.12013493022783,0.90867317,Like shoots say twentyfive or.,Like shoots say twenty-five or.
And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,And uh we are pull and i see girls.,57.47395613486211,0.85373795,And uh we are pull and i see girls and uh we are pull and i see girls.,And uh we are pull and i see girls and uh we are pull and i see girls and
I get up so i think these be probably.,When i got up so i thought that is probably not good.,a good idea,6.735609654838511,0.6644196,waking up,a good idea to try them.
Well turn them.,Well turn them up.,Well turn them.,79.21892115428204,0.89066267,Well turn them around.,"Well turn them, okay?"
I be oh shoet.,I was like oh shoot.,I be oh shoet.,31.1508824540985,0.8148886,I be oh shoe.,I be oh shoet!
Problems go out.,The problem going out.,Problems come in.,26.904941572618373,0.85409063,Problems come back in.,Problems come back.
We have a lots catch up.,We have a lot to catch up on.,I know we haven't seen each other in a while.,20.18011140009581,0.6891033,I know we haven't seen each other for a while.,I know we haven't seen each other in ages.
I think you guy put it.,I think you guys put it in.,I'm not sure.,6.140350877192982,0.7099763,I'm not sure where.,I'm not sure where.
And green and peppers cut up.,And um green and red peppers cut up.,And green and peppers cut up.,69.13211347169931,0.9808292,And green and red peppers cut up.,And green peppers cut up.
I would hate bounce a check.,I would hate to bounce a check.,I would have to pay the bounced check fee.,51.765311235537496,0.8704657,I would have to pay the bounced check fee to the bank.,I would have to pay the bounced check back to the bank.
It be go be,It is going to be hard to.,It be go be,10.769202288695794,0.7330259,It be go be be.,It be go be a long time.
Time you go bed last nights.,Time you go to bed last night.,I'm going to sleep.,11.230330632430904,0.76034486,I'm going to sleep now.,I'm going to get some sleep.
That be that be.,That is that is very true.,That be that be.,21.65765673735406,0.83308196,That be what be.,That be what it be.
And kid had to do was get her through.,And all the kids had to do was get her through.,"Having a kid can be a huge challenge, but it can also be a very rewarding experience.",14.327706688075828,0.67365336,"Having a kid can be a huge challenge, but it can also be a great adventure.","Having a kid can be a huge challenge, but it can also be a great thing."
I thought why.,I thought why.,I thought why my mother made me do it.,65.57128465345636,0.86836886,I thought why my mother made me do this.,I thought why my mother was crying.
Spending money this trash.,Spending the money on this trash.,I wish I could have a refund.,9.330498417721518,0.7354969,I wish I could have thrown it away.,I wish I could have thrown it away instead.
My case amelia gonzalez um uh that happen in ninety.,In our first case amelia gonzalez um that uh that happened back in ninety.,Amelia gonzalez.,21.537370944002152,0.80187845,Amelia gonzalez in ninety.,Amelia gonzalez
Which you know i am.,Of which you know i am comfortable with.,I'm just a good person.,6.641447529503941,0.7528091,"I'm just a good person,",I'm just a big kid.
You pop two.,You popped two.,You pop three.,35.98173004046967,0.89041245,You pop one.,You pop two.
Have had tool he have that overlap.,Has never had a tool where he had that overlap.,Have had tool he have that overlap.,46.50399403734498,0.82471764,Have had tool he have that overlap.,Have had tool he have that overlaps.
If i go uh.,If i go with a uh.,"I'll uh, uh, uh, uh, uh, u",5.873573732607962,0.82378423,"I'll uh, uh, uh, uh, uh.","I'll uh, uh, uh, uh, uh,"
And that it sound but it be hard do.,And that it sounds easy but it is really hard to do.,And that it sound but it be hard do.,46.17888647663383,0.9014498,And that sound but it be hard do.,And that it sound but it be hard to do.
Because it would be nice have heats in here meantime.,Because it would be nice to have heat in here in the meantime.,But it would be nice have heats in here.,46.5639770073423,0.9098116,But it would be nice to have heats in here anyway.,But it would be nice to have heats in here
You know i have get this week.,You know i had to get really tough in this last week.,You know i have to get this week.,38.69007216285824,0.8141675,You know i have to get a new job.,You know i have to get this week..
They have salt gland.,They have a salt gland.,Salt glands are located in the skin.,35.9795014077025,0.9505262,Salt glands are located in the skin and produce salt.,Salt glands are located in the mouth.
Kids that i receive be the three thirdgrader education.,The kids that i receive are the three thirdgraders of the lowest education.,I have been in the third grade for a year and a half.,24.85977514293693,0.7694958,I have been in the third grade for a year and a half now.,I have been in the third grade for three years.
There be bag it.,There is a good bag in it.,"There be bag it, there be bag it, there be bag it, there be bag it, there be bag it,",19.08846842149693,0.86622095,"There be bag it, there be bag it, there be bag it, there be bag it, there be bag it.","There be bag it, there be bag it, there be bag it, there be bag it, there be bag it"
Tell jury that.,Tell the jury that.,You're not a liar and you're not a cheater and you're not ,9.92122322773711,0.69777185,You're not a liar and you're not a cheater.,"You're not a liar and you're not a cheater, you're a"
But you know when there is that ones.,But you know when there is that many little ones.,But you know when there is that ones.,70.12394333118073,0.8096913,But you know when there is that one.,But you know when there is that one ones.
Maxine say okay.,Maxine said okay.,Maxine,31.18871293504669,0.8566846,Maxine's voice is a little shaky.,Maxine's voice is a little shaky today.
See i be pe teacher but.,See i am originally a pe teacher but.,i'm a nerd.,5.194271587866017,0.7288444,i'm fat.,i'm a liar.
But one thing we have to be.,But one thing we have to be careful of.,We have to be honest with each other.,32.518218905991795,0.77568966,We have to be honest.,We have to be honest with ourselves.
Like clear table.,Like clear the table.,I'm gonna get it out of the way.,11.407460594229827,0.7512503,I'm gonna get it out of here.,I'm gonna get it out of the box.
And i will try to i will get hold two.,And then i will try to i will get hold of two more.,And i will try to i will get hold two.,62.8376820718439,0.9527354,And i will get hold two.,And i will try to i will get hold two
And we report how sales we had and they.,And we report how much in sales we had and they.,report how much they had.,40.921618672281795,0.88372195,report how they had.,report how they did.
Mm that be.,Mm that is good.,That be a great idea.,16.393715933920486,0.7554418,"That be a great idea, I'll try it.","That be a great idea, I'll try it out."
He never try.,He never tried to.,He is a loser.,10.741389375364859,0.6909504,He is a failure.,He is a failure at life.
Some surgeon were going and put them back.,Some of these orthopedic surgeons were going and putting them in the back.,Some surgeon were going and put them back.,43.63596519020181,0.8940263,Some surgeon were going to put them back.,Some surgeon were going and put them back..
He be like that be.,He is like that is fine.,He be a snob.,7.811992607943507,0.70235425,He be a good person.,He be a nice man.
Goes his knees.,Goes down to his knees.,He screams.,6.90296030797823,0.7427852,He screams and yells.,He screams for help.
You have give them back.,You have to give them back.,You borrowed them from a friend.,17.147306746806365,0.83112556,You are not allowed to keep them.,You borrowed them from me.
I feel that uh margaret is.,So i felt that uh margaret is.,a narcissist,7.086019888616672,0.6822338,a narcissist.,a narcissistic person.
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,The mas has a lot of will.,12.211866056451136,0.75220215,The mas has a lot of willpower.,The mas has a lot of energy.
He move near me.,He moved down near me.,I'm very happy to see him.,9.907553663133637,0.75116265,I'm very happy to see him again.,I'm very happy to see him near me.
Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Fish be run do you want come and blah,33.83103779320832,0.9107511,Fish be run do you want come and blah blah blah blah blah bla,blah blah blah blah blah blah blah blah 
