Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,I would pick it night.,28.503076695938205,0.84837294,I would pick it up in the dark.,I would pick it up in the morning.,55.93658048916197
So those means that its parent.,So that means that most of your parents.,It means that it has a parent.,42.099663193200776,0.79182935,It means that it's parent.,It means that it's a child.,65.56529372009375
If you have studio apartment you are stuck it.,If you have a studio apartment you are stuck with it.,"You can't do anything about it, but that doesn't mean you can't do something about it.",18.685597510207028,0.7185612,You can't do anything about it.,"You can't do anything about it, but that doesn't mean you can't make it work.",65.58422858216821
This bothers me great deals.,That bothers me a great deal.,This bothers me great deals.,62.38292123589606,0.9619085,This bothers me a lot.,This bothers me a great deal.,69.51781935528065
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They will be blown away by the fact that it is so big.,26.54388244959074,0.831382,They will be blown away by the sight.,They will be so surprised.,53.058607914555
It will be kind a pain getting.,It will be kind of a pain getting the.,It will be kind a pain getting.,71.73799856993044,0.9743445,It will be kind of a pain getting.,It will be kind a pain getting to the airport.,68.40002993571154
And they do not have third editors.,And then they do not have the third editor.,They do not have third proofreaders.,47.315976825505565,0.86537313,They do not have editors.,They do not have any third editors.,58.95265561507017
Because you can like see years ago.,Because you cannot like see the material years ago.,You can like see years ago.,37.05332857795957,0.8411393,You can like see years ago. Because you can like see years ago.,You can like see years ago. You can like see years ago.,62.63420313965247
Then winds died and it be calm.,Then the wind died down and it was completely calm.,It was a nice day.,9.77588861721065,0.7547723,It was a very beautiful day.,It was a nice day to sit on the porch.,31.192478148300168
You probably could get todays.,You probably could not get that today.,You're so impatient.,9.235349181052886,0.6509824,You're so lazy.,You're so impatient!,61.86256832686892
I go and see their house night.,I went and saw their house the other night.,I want to go to their house.,33.224492536502325,0.8264693,I want to go to their house for the first time.,I want to go to their house for a while.,68.02975875360607
Thaand these is that kick on side like that water.,Thaand that is that kicked up on the side like that the water.,Thaand these is that kick on side like that water.,59.94567999314457,0.93766785,Thaand these is that kick on side like that water.,Thaand these is that kick on side like that water. Thaand these is that kick on side like that water.,63.750301647935444
I get up so i think these be probably.,When i got up so i thought that is probably not good.,I want to go to the store.,10.736109016377023,0.67214143,I want to go to bed.,I want to go to work.,63.86637863253185
We have a lots catch up.,We have a lot to catch up on.,We need to do a lot of work.,15.750760106739357,0.83847225,We need to do a lot of homework.,We need to do a lot of work on the house.,65.22447885998419
I think you guy put it.,I think you guys put it in.,I think you guy put it.,66.62928062461711,0.94722974,I think you guy put it. I think you guy put it.,I think you guy put it. - I think you guy put it.,65.13939713907102
Time you go bed last nights.,Time you go to bed last night.,You were up all night.,21.800812026865227,0.8436326,You were up all night drinking.,You were up all night drinking with friends.,61.06697003457977
And that it sound but it be hard do.,And that it sounds easy but it is really hard to do.,It's a lot of work.,5.613466839852463,0.8044608,It's a lot of work to do.,It's a lot of work to do something like that.,51.661770610012724
You know i have get this week.,You know i had to get really tough in this last week.,I have to get my work done.,13.04978145241383,0.7594244,I have to get to work.,I have to get my work done..,69.64282091987933
But you know when there is that ones.,But you know when there is that many little ones.,They are hard to come by.,8.37309455942496,0.6866797,They are hard to get.,They are so good.,51.906679086988284
But one thing we have to be.,But one thing we have to be careful of.,We have to be honest.,30.37679515007077,0.78088653,We have to be a team.,We have to be a family.,55.24652711742647
And we report how sales we had and they.,And we report how much in sales we had and they.,They are a big company.,10.337838806269655,0.73241353,They are a company.,They are a company that reports.,56.16396753060384
Some surgeon were going and put them back.,Some of these orthopedic surgeons were going and putting them in the back.,The surgeon was a doctor.,13.969554570538062,0.8093549,The surgeon was a very skilled surgeon.,The surgeon was a very skilled one.,59.1576363808169
You have give them back.,You have to give them back.,I borrowed them.,12.701007529296396,0.8248063,I borrowed them from someone else.,I borrowed them from someone.,64.03379197350823
