Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,That is what i would do i would pick it up at night.,74.7795009804664,0.92737913,That is what i would do i would pick it up late at night.,That is what i would do i would pick it up night.
We stay up three thirty night.,We stayed up till like three thirty last night.,We stay up for three thirty nights.,43.660475997895574,0.8959211,We stay up for three thirty night.,We stay up for three thirty night.
So those means that its parent.,So that means that most of your parents.,So that means that its parent.,56.99867777682196,0.83738786,So that means that its parent.,So that means that its parent is not.
If you have studio apartment you are stuck it.,If you have a studio apartment you are stuck with it.,If you have a studio apartment you are stuck in it.,86.28800103180528,0.9671123,If you have a studio apartment you are stuck in it.,If you have a studio apartment you are stuck with it.
This looks good.,That looks good.,This looks good.,68.08265808265807,0.9548982,This looks good.,This looks good.
When they quit going lewiston week.,When they quit going to lewiston every week.,When they quit going to lewiston this week.,78.41525565615682,0.946979,When they quit going to lewiston week.,When they quit going to lewiston for the week.
This bothers me great deals.,That bothers me a great deal.,This bothers me a great deal.,83.39018659956875,0.96834004,This bothers me a great deal.,This bothers me a great deal.
And do their things.,And to do their things.,And do their stuff.,35.826811116200645,0.9427506,And do their things.,And do their things.
Check everything out.,Checked everything out.,Check everything out.,81.00622802136998,0.9385849,Check everything out.,Check everything out.
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They come they will be pretty shocked.,72.13505065311246,0.96066046,They come they will be pretty shocked.,They come to they will be pretty shocked.
It will be kind a pain getting.,It will be kind of a pain getting the.,It will be kind of a pain getting there.,96.0785824535696,0.9152063,It will be kind of a pain getting.,It will be kind of a pain getting.
And we take him.,And we took him to the.,And we took him.,66.0314545761798,0.90919065,And we took him.,And we take him.
Have decide that is his herd.,Has decided that is his mare herd.,Have decided that is his herd.,66.07011307811888,0.9298692,Have decided that is his herd.,Have to decide that is his herd.
And they do not have third editors.,And then they do not have the third editor.,And they do not have a third editor.,71.38849670040071,0.92714715,And they do not have a third editor.,And they do not have a third editor.
But i have go.,But i have to go.,But i have to go.,100.0,0.99999976,But i have to go.,But i have to go.
One and she is got a lot.,To this one and she is still got a lot more.,One and she is got a lot.,42.08227651792066,0.8996204,One and she is got a lot.,One and she is got a lot.
Oh you need huhs.,Oh you needed that huh.,Oh you need huh.,51.72871692443544,0.9234901,Oh you need huh.,Oh you need huh.
So there be a history here.,So there is a long history here.,So there is a history here.,74.17701308603837,0.9528131,So there is a history here.,So there is a history here.
I mean kid was he looked like.,I mean this kid was he looked like a.,I mean the kid was he looked like.,76.67924853152545,0.9512789,I mean the kid was he looked like.,I mean kid was he looked like.
But i do know if this was number two.,But i do not know if this was really number two.,But i do not know if this was number two.,78.41629494885616,0.97793496,But i do not know if this was number two.,But i do not know if this was number two.
Because you can like see years ago.,Because you cannot like see the material years ago.,Because you can like to see years ago.,52.26655129812136,0.85611457,Because you can like to see years ago.,Because you can like to see that year ago.
It was do my point of that be.,So it was done my point of all that was.,It was done to my point of that is.,51.21531366405513,0.91359794,It was done to my point of that was.,It was done with my point of that being.
I would say,I would say not.,I would say.,65.96312485136936,0.8037397,I would say that.,I would say.
You can wait.,You can wait.,You can wait.,100.0,1.0,You can wait.,You can wait.
I get it.,I got it.,I got it.,100.0,0.9999997,I got it.,I got it.
Because my fuel pump be electric used be.,Because my fuel pump is now electric never used to be.,Because my fuel pump is electric like used to be.,70.00440271449641,0.9429228,Because my fuel pump is not electric like used to be.,Because my fuel pump is electric used to be.
Alright you little shit i be going throw you wall.,Alright you little shit i am going to throw you against this wall.,Alright you little shit i am going to throw you a wall.,78.64399525703124,0.97360694,Alright you little shit i am going to throw you a wall.,Alright you little shit i am going to throw you a wall.
Those be things i said.,That was the first thing i said.,Those are the things i said.,33.89210666383621,0.8004786,Those are the things i said.,That is what i said.
Bring the bottle.,Bring the bottles.,Bring the bottle.,87.29274835007253,0.9413979,Bring the bottle.,Bring the bottle out.
You do it.,You did it too much.,You did it.,45.55736087057428,0.79362965,You did it.,You did it right.
I have it store.,I have it at the store.,I have it in the store.,69.36753333812158,0.98163515,I have it in the store.,I have it in a store.
It take lo time teach them to work.,It takes a lo time to teach them how to work together.,It takes a lot of time to teach them to work.,63.742250395674624,0.934909,It takes a lo time to teach them to work.,It takes a long time to teach them to work.
There is like tamara that shop.,There is like tamara that sandwich shop.,There is like tamara in that shop.,64.11319378730086,0.8990816,There is like tamara that shop.,There is like tamara that shop.
I mean greg.,I mean greg.,I mean greg.,100.0,1.0000002,I mean greg.,I mean greg.
Then winds died and it be calm.,Then the wind died down and it was completely calm.,Then the winds died down and it was calm.,66.74755155532242,0.9588615,Then the winds died down and it was calm.,Then the winds died down and it was still calm.
You probably could get todays.,You probably could not get that today.,You probably could not get a today.,80.24125467805881,0.89866173,You probably could not get out of today.,You probably could not get out today.
I go and see their house night.,I went and saw their house the other night.,I went and saw their house the night before.,74.94148772649672,0.9555112,I went and saw their house the night before.,I went to see their house the night before.
There be just one.,No there is just one.,There is just one.,81.28715195785207,0.93256545,There is just one.,There is just one.
Thaand these is that kick on side like that water.,Thaand that is that kicked up on the side like that the water.,Thaand this is that kick on the side like that water.,66.78771133209545,0.95150596,Thaand this is that kick on the side like that water.,Thaand this is that kick on side like that water.
They are than i think.,They are higher than i thought.,They are more than i think.,42.72771538574663,0.8843252,They are more than i think.,They are more than i think.
And i will hand your documents.,And i will hand back your documents.,And i will hand you your documents.,76.43819561672122,0.9456452,And i will hand you your documents.,And i will hand you all your documents.
Which show that my lack history.,Which shows that my lack of history.,Which shows that my lack of history.,100.0,1.0000002,Which shows that my lack of history.,Which shows that my lack of history.
So you got go this time.,So you got to go this time.,So you got to go this time.,100.0,1.0000002,So you got to go this time.,So you got to go this time.
Like shoots say twentyfive or.,Like shoot for say twentyfive or.,Like shoots say twentyfive or.,79.12013493022783,0.90867317,Like shoots say twentyfive or.,Like shoots say twenty five or.
And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,And uh we are pulling and i see the girls.,70.96606141115767,0.8810814,And uh we are pulling and i see the girls.,And uh we are pulling and i see girls.
I get up so i think these be probably.,When i got up so i thought that is probably not good.,I got up so i think these are probably probably.,37.54520779796421,0.80796635,I got up so i think these are probably probably.,I got up so i think this is probably probably.
Well turn them.,Well turn them up.,Well turn them around.,73.0691773780746,0.8685297,Well turn them around.,Well turn them.
I be oh shoet.,I was like oh shoot.,I am oh shoet.,25.209690287588813,0.8094555,I am oh shoet.,I am oh shoet.
Problems go out.,The problem going out.,Problems go out.,34.29779372226601,0.90795666,The problem goes out.,Problem goes out.
We have a lots catch up.,We have a lot to catch up on.,We have a lot of catch up.,64.06828873488384,0.91358334,We have a lot of catch up.,We have a lot of catch up to do.
I think you guy put it.,I think you guys put it in.,I think you guys put it there.,81.77307635640827,0.94587815,I think you guys put it in there.,I think you guys put it.
And green and peppers cut up.,And um green and red peppers cut up.,And green and peppers cut up.,69.13211347169931,0.9808292,And green and peppers cut up.,And green and peppers cut up in.
I would hate bounce a check.,I would hate to bounce a check.,I would hate to bounce a check.,100.0,1.0000002,I would hate to bounce a check.,I would hate to bounce a check at.
It be go be,It is going to be hard to.,It is going to be great.,63.671365641386814,0.70819473,It is going to be a great.,It is going to be a big.
Time you go bed last nights.,Time you go to bed last night.,When you went to bed last night.,61.71509265605511,0.93435216,When you went to bed last night.,When you went to bed last night.
That be that be.,That is that is very true.,That is that is.,56.648933481699245,0.859628,That is that is.,That is that is.
And kid had to do was get her through.,And all the kids had to do was get her through.,And the kid had to do was to get her through.,68.17709695048423,0.8983035,And the kid had to do was to get her through.,And the kid had to do was to get her through.
I thought why.,I thought why.,I thought why.,100.0,0.9999999,I thought why.,I thought why.
Spending money this trash.,Spending the money on this trash.,Spending money on this trash.,79.7545971011568,0.9874971,Spending money on this trash.,Spending money on this trash.
My case amelia gonzalez um uh that happen in ninety.,In our first case amelia gonzalez um that uh that happened back in ninety.,My case amelia gonzalez um uh that happened in ninety.,63.97101578824391,0.93995434,My case amelia gonzalez um uh that happened in ninety.,My case is amelia gonzalez um uh that happened in ninety.
Which you know i am.,Of which you know i am comfortable with.,Which you know i am.,42.78779561267619,0.8473111,Which you know i am.,Which you know i am not.
You pop two.,You popped two.,You pop two.,48.08378351399516,0.93652785,You pop two.,You pop two of.
Have had tool he have that overlap.,Has never had a tool where he had that overlap.,Have had a tool he has that overlaps.,50.73602897486279,0.8401265,Have had a tool he has that overlaps.,Have had a tool he has that overlapped.
If i go uh.,If i go with a uh.,If i go uh.,32.685496952162055,0.9389615,If i go uh.,If i go uh.
And that it sound but it be hard do.,And that it sounds easy but it is really hard to do.,And that it sounds so good but it is hard to do.,62.2595885352405,0.9096653,And that it sounds like it is hard to do.,And that it sounds like but it is hard to do.
Because it would be nice have heats in here meantime.,Because it would be nice to have heat in here in the meantime.,Because it would be nice to have heat in here in the meantime.,100.0,1.0000001,Because it would be nice to have heat in here in the meantime.,Because it would be nice to have heat in here in the meantime.
You know i have get this week.,You know i had to get really tough in this last week.,You know i have got this this week.,35.51447852327843,0.78200316,You know i have got this last week.,You know i have got this week.
They have salt gland.,They have a salt gland.,They have a salt gland.,100.0,0.9999999,They have a salt gland.,They have a salt gland.
Kids that i receive be the three thirdgrader education.,The kids that i receive are the three thirdgraders of the lowest education.,The kids that i receive are the three thirdgrader education.,79.06981898004878,0.918682,The kids that i receive are the three third graders.,The kids that i receive are the three third graders who are in school.
There be bag it.,There is a good bag in it.,There is a bag in it.,64.44650938317935,0.97003496,There is a bag behind it.,There is a bag inside it.
