,Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
0,That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,I would pick it night.,28.503076695938205,0.84837294,I would pick it up in the dark.,I would pick it up in the morning.
1,We stay up three thirty night.,We stayed up till like three thirty last night.,We watch tv all night.,15.885817116802668,0.79244274,We watch tv all night long.,We watch tv all day.
2,So those means that its parent.,So that means that most of your parents.,It means that it has a parent.,42.099663193200776,0.79182935,It means that it's parent.,It means that it's a child.
3,If you have studio apartment you are stuck it.,If you have a studio apartment you are stuck with it.,"You can't do anything about it, but that doesn't mean you can't do something about it.",18.685597510207028,0.7185612,You can't do anything about it.,"You can't do anything about it, but that doesn't mean you can't make it work."
5,When they quit going lewiston week.,When they quit going to lewiston every week.,They started going to lewiston every week.,69.63945381815556,0.82768667,They started going to lewiston every day.,They started going to lewiston every weekend.
9,They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They will be blown away by the fact that it is so big.,26.54388244959074,0.831382,They will be blown away by the sight.,They will be so surprised.
10,It will be kind a pain getting.,It will be kind of a pain getting the.,It will be kind a pain getting.,71.73799856993044,0.9743445,It will be kind of a pain getting.,It will be kind a pain getting to the airport.
12,Have decide that is his herd.,Has decided that is his mare herd.,Have decide that is his herd.,52.51652570107027,0.93534464,Have decide that is his herd.,Have decided that is his herd.
13,And they do not have third editors.,And then they do not have the third editor.,They do not have third proofreaders.,47.315976825505565,0.86537313,They do not have editors.,They do not have any third editors.
15,One and she is got a lot.,To this one and she is still got a lot more.,She is a good friend of mine.,15.443499608494918,0.72528994,She is a good friend.,She is a good friend.
17,So there be a history here.,So there is a long history here.,So there be a history here.,61.546557777074696,0.9194207,There be a history here.,So there be a history here.
18,I mean kid was he looked like.,I mean this kid was he looked like a.,I mean kid was he looked like.,70.60066019594228,0.94567597,I mean kid was he looked like.,I mean kid was he.
19,But i do know if this was number two.,But i do not know if this was really number two.,I'm not sure if this was number two.,45.80601612005631,0.96920574,I'm not sure if it was number two.,I am not sure if it was number two.
20,Because you can like see years ago.,Because you cannot like see the material years ago.,You can like see years ago.,37.05332857795957,0.8411393,You can like see years ago. Because you can like see years ago.,You can like see years ago. You can like see years ago.
21,It was do my point of that be.,So it was done my point of all that was.,It was do my point of that be.,43.52622412474727,0.8663864,It was do my point of that be.,It was do my point of that be.
25,Because my fuel pump be electric used be.,Because my fuel pump is now electric never used to be.,The fuel pump was not working properly.,21.85633287253461,0.8094251,The fuel pump was not working.,The fuel pump was not working properly anymore.
26,Alright you little shit i be going throw you wall.,Alright you little shit i am going to throw you against this wall.,I be going to throw you wall.,33.23012193306544,0.9105875,I be going to throw you a wall.,I be going to throw you shit.
31,It take lo time teach them to work.,It takes a lo time to teach them how to work together.,It is difficult to teach them to work.,35.293820528908086,0.86597705,It is difficult to get them to work.,It is difficult to teach them.
32,There is like tamara that shop.,There is like tamara that sandwich shop.,There is like tamara that shop.,72.65264497001243,0.89159924,There is a tamara that shop.,There is like tamara that store.
34,Then winds died and it be calm.,Then the wind died down and it was completely calm.,It was a nice day.,9.77588861721065,0.7547723,It was a very beautiful day.,It was a nice day to sit on the porch.
36,I go and see their house night.,I went and saw their house the other night.,I want to go to their house.,33.224492536502325,0.8264693,I want to go to their house for the first time.,I want to go to their house for a while.
38,Thaand these is that kick on side like that water.,Thaand that is that kicked up on the side like that the water.,Thaand these is that kick on side like that water.,59.94567999314457,0.93766785,Thaand these is that kick on side like that water.,Thaand these is that kick on side like that water. Thaand these is that kick on side like that water.
40,And i will hand your documents.,And i will hand back your documents.,I will hand your documents.,64.55611664526344,0.93603265,I will hand your documents to you.,I will hand your documents to the police.
41,Which show that my lack history.,Which shows that my lack of history.,Which show that my lack history.,71.56781347953867,0.97126526,Which show that my lack of history.,Which show that my lack knowledge.
42,So you got go this time.,So you got to go this time.,You can't just sit there.,12.8968253968254,0.7366788,You can't just sit there and complain about it.,You can't just sit there and complain.
