,Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
7,And do their things.,And to do their things.,And do their stuff.,35.826811116200645,0.9427506,And do their things.,And do their things.,69.96500880936084
11,And we take him.,And we took him to the.,And we took him.,66.0314545761798,0.90919065,And we took him.,And we take him.,64.50552533885867
21,It was do my point of that be.,So it was done my point of all that was.,It was done to my point of that is.,51.21531366405513,0.91359794,It was done to my point of that was.,It was done with my point of that being.,68.56054107467511
27,Those be things i said.,That was the first thing i said.,Those are the things i said.,33.89210666383621,0.8004786,Those are the things i said.,That is what i said.,59.42186842115383
29,You do it.,You did it too much.,You did it.,45.55736087057428,0.79362965,You did it.,You did it right.,64.35787392527838
48,Problems go out.,The problem going out.,Problems go out.,34.29779372226601,0.90795666,The problem goes out.,Problem goes out.,58.12331121950739
69,There be bag it.,There is a good bag in it.,There is a bag in it.,64.44650938317935,0.97003496,There is a bag behind it.,There is a bag inside it.,61.197908199592696
78,Mm that be.,Mm that is good.,Mm that is.,56.72208192208554,0.8630806,Mm that is.,Mm that is pretty.,59.820728891922705
129,They be make rubbers.,They are made of rubber.,They are made of rubber.,100.0,1.0000005,They are making rubbers.,They are making rubber.,69.73989824228933
181,But none ours go killers ends its life.,But none of ours go to the killers at the end of their life.,But none of ours goes to the killer to end its life.,58.28919035684043,0.9352503,But none of ours goes to a killer to end his life.,But none of ours goes to the killer and ends up with a life.,66.78629232516599
195,I see lots them.,I see lots of them in here.,I see lots of them.,67.00045656630355,0.93947804,I see lots of them.,I see a lot of them.,69.15362415362415
208,Reach way those.,Reach way like this.,Reached way to that.,27.163820656467717,0.889746,Reached way up there.,Reached way to the other.,56.88720556605773
213,Of defeats purpose of getting morning.,Kind of defeats the purpose of getting up in the morning.,Of defeats the purpose of getting to the morning.,76.38368221370561,0.9395045,Of defeats the purpose of getting up early.,Of defeating the purpose of getting up at the morning.,69.82366863340323
234,And i say.,And i said fine.,And i say.,36.142990452314365,0.8159243,And i say.,And i said.,67.48897169550192
244,I am do.,I am doing a.,I am doing.,75.56687578606558,0.95429564,I am doing well.,I am doing something.,45.25680520370891
277,It be go.,It was going.,It is going to.,43.86132745155011,0.82901573,It is going.,It is on the go.,42.04287824097072
321,You get it.,You got it.,You got it.,100.0,0.9999999,You got it.,You get it.,61.59611992945327
330,I knew one that,Mm i knew the ones that.,I knew one that.,31.084474937914894,0.8904532,I knew one of those.,I knew one of those that.,59.4128801605587
334,There was people the bac.,There was like people in the bac.,There was a lot of people in the bac.,72.29204097787702,0.95215714,There was a person in the bac.,There was a lot of people the bac.,65.51917984227062
350,No i am joke.,No i am just joking.,No i am not a joke.,27.586466557474704,0.8411386,No i am a joke.,No i am not joking.,46.040914086129305
383,But we uh we have ones.,But we uh we had this one.,But we uh we have one.,58.86822499293578,0.88580436,But we uh we have the ones.,But we uh we have a few.,68.05462471324736
391,Times i go out there they be.,By the time i went out there again they were still.,The times i go out there they are.,33.24425646683737,0.7395851,Every time i go out there they are.,How often i go out there they are.,69.41201913976923
440,He goes they.,He goes they.,He goes to them.,57.994768727899405,0.88214576,He goes to them.,He goes on they.,61.45838729172062
460,And he hopp water.,And he hopped into the water.,And he hopps into the water.,79.03101848148304,0.95585424,And he hopps through the water.,And he hopps on the water.,69.05056607760099
466,Am i go.,How am i going to.,Am i going.,42.61639846895171,0.8806063,Am i going.,Am i going down.,67.26218018244202
478,Pick ones you want then.,Pick which ones you want then.,Pick which ones you want then.,100.0,1.0000004,Pick the ones you want then.,Pick one you want then.,69.61040744307911
486,I come just this.,I just come just like this.,I came just to this.,34.517746734248064,0.8577454,I came here just like this.,I came here just like that.,51.76482808082143
487,So it just goes the trash this.,So it just goes in the trash like this.,So it just goes to the trash here.,55.80181231551108,0.93716633,So it just goes to the trash here.,So it just goes in the trash like this.,69.3285660663576
543,Stay it you be those.,Stay out of it you are not involved in this.,Stay it you are like that.,27.756419278740584,0.7035769,Stay it for you to be like that.,Stay it you are the same.,48.82256257414175
544,See this is.,See that is.,See this is.,40.31746031746032,0.9282566,See this is awful.,See this is very interesting.,38.12078493701328
574,Could i call while,Could i call right here while.,Could i call while while.,55.77298229030361,0.9519975,Could i call while i was out there.,Could i call while i was still here.,61.12781500362752
602,I have find that.,I have found that out.,I have to find that.,43.43543247727564,0.7697941,I have found that.,I have found that.,69.56375765790541
610,And i get.,And i got.,And i got.,100.0,1.0,And i got.,And i got the.,67.25208869675036
614,Do you want them put.,Where do you want them put.,Do you want them put.,72.74827019151975,0.9277104,Do you want them to put in.,Do you want them to put there.,65.76859033206642
628,Her mom win radios.,That her mom won on the radio.,Her mom won the radio.,65.80785573554421,0.9642524,Her mom win the radio.,Her mom won a radio.,67.73753392213948
639,I look total hell.,I probably look like total hell.,I look like a total hell.,56.791544692484266,0.9611745,I look at the total hell.,I look like the total hell.,66.08504352933868
646,Times you hung up.,When every time you hung up.,How often you hung up.,41.053511067037824,0.9285792,How many times you hung up.,How many times you hung up.,65.61588850365092
686,Open these judy.,Open this from judy.,Open this judy.,56.14533982286728,0.9722233,Open up this judy.,Open up these judy.,52.42053030053552
702,There be just those whole.,There was just so much to this whole.,There is just those whole.,36.40888469546045,0.75374687,There is just that one whole.,There is just those whole things.,68.51765481134548
711,It be die.,It is dying.,It is going to die.,29.618301755550767,0.95661116,It is dying.,It is not dying.,34.66335289521796
713,You be kid.,You are kidding.,You are a kid.,39.50508093849262,0.8303181,You are a kid.,You are a little kid.,57.245758483271125
738,You stay here.,You stay here.,You stay here.,100.0,0.99999964,You stay in here.,You stay there.,61.833654750589936
749,Now way do it be all bent.,Now the traditional way to do it is not all bent over.,Now how does it be all bent.,20.435408833415085,0.69610894,Now the way do you do it is all bent.,Now how does it be all bent.,54.94350996067244
754,And she go.,And she goes.,And she went away.,38.25057404310401,0.8790809,And she went to.,And she went off.,67.61695263122346
789,We are go be,We are going to be t.,We are going to be a.,85.98297535797536,0.9438491,We are going to be a bit more serious.,We are going to be a little bit faster.,50.49600481968909
804,And i am get.,And i am getting out of here.,And i am not getting.,42.49125351343629,0.6995336,And i am getting pretty tired.,And i am not getting to.,54.53432153968717
855,Drive him cart.,Driving him with a cart.,Drive him a cart.,35.51882464318997,0.93581223,Drive him to the cart.,Drive him in the cart.,58.2742382599256
877,You know these is.,You know that is fine.,You know this is.,48.361038999557806,0.78976786,You know this is.,You know that is not.,64.58401970774862
893,You mean ones that i.,You mean the one that i.,You mean the ones that i.,82.59544654030196,0.9053243,You mean those that i.,You mean the ones that i never.,61.88254268585719
930,He get real.,He gets sick real easily.,He got real.,16.696947866835284,0.73139524,He gets real.,He gets real real.,46.881354853064785
931,To kid and i put.,To the kids and i put excellent.,To kid and i put in.,28.483355399185665,0.83630365,To kid and i put the.,To kid and i put it there.,67.21855507266596
