Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,acceptable,4.219787444465099,0.6783439,acceptable,True
We stay up three thirty night.,We stayed up till like three thirty last night.,Complete the sentence: We stay up three thirty night.,46.04606500838796,0.89699996,Complete the sentence: We stay up three thirty night.,Complete the sentence: We stay up three forty night.
So those means that its parent.,So that means that most of your parents.,Complete the sentence: So those means that its parent.,39.288939387873285,0.81174266,Complete the sentence: So those means that its parent.,Complete the sentence: So those means that its parent.
If you have studio apartment you are stuck it.,If you have a studio apartment you are stuck with it.,unacceptable,4.07608695652174,0.6893872,unacceptable,acceptable
This looks good.,That looks good.,This looks good.,68.08265808265807,0.9548982,This looks good.,This looks good.
When they quit going lewiston week.,When they quit going to lewiston every week.,Complete the sentence: When they quit going lewiston week.,61.82342937270644,0.9367225,Complete the following sentence: When they quit going lewiston week.,Complete the sentence: When they stopped going lewiston week.
This bothers me great deals.,That bothers me a great deal.,- - - - - - - - - - - - ,0.0,0.6671485,            ,- - - - - - - - - - - -
And do their things.,And to do their things.,Complete the sentence: And do their things.,62.98305143559778,0.9110794,Complete the sentence: And do their things.,And do their things.
Check everything out.,Checked everything out.,Complete the sentence: Check everything out.,67.1058759959109,0.90665233,Complete the sentence: Check out everything.,Complete the sentence:
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,Complete the sentence: They come they will be pretty shocked.,69.71054368890299,0.92990565,Complete the sentence: They will be pretty shocked.,True
It will be kind a pain getting.,It will be kind of a pain getting the.,Complete this sentence: It will be kind of a pain getting.,77.99402138016126,0.945032,Complete this sentence: It will be kind a pain getting.,Complete this sentence: It will be kind a a pain getting.
And we take him.,And we took him to the.,Complete the sentence: And we take him.,31.25429081465894,0.8840978,Complete the sentence: And we take him.,Complete the sentence: And we take him.
Have decide that is his herd.,Has decided that is his mare herd.,Complete the sentence: Have decide that is his herd.,46.42029928078787,0.8877896,Complete the following sentence: Have decide that is his herd.,Complete the sentence: Have decided that is his herd.
And they do not have third editors.,And then they do not have the third editor.,Complete this sentence: And they do not have third editors.,71.74315392978934,0.873644,False,Complete this sentence: and they do not have third editors.
But i have go.,But i have to go.,sentence: but i have to go.,76.88092313521267,0.9589257,sentence: but i have go.,sentence: But i have go.
One and she is got a lot.,To this one and she is still got a lot more.,acceptable,4.015855706150146,0.65996265,acceptable,unacceptable
Oh you need huhs.,Oh you needed that huh.,: Oh you need huhs.,47.32992343104086,0.85366535,: Oh you need huhs.,:: Oh you need huhs.
So there be a history here.,So there is a long history here.,Complete this sentence: So there be a history here.,55.44284203609238,0.87434274,Complete this sentence: There be a history here.,True
I mean kid was he looked like.,I mean this kid was he looked like a.,Complete the sentence: I mean kid was he looked like.,63.713929460957495,0.93029165,Complete the sentence: I mean kid was he looked like.,Complete the sentence: I mean kid was he looked like.
But i do know if this was number two.,But i do not know if this was really number two.,True,2.4038461538461537,0.6854181,True,True or false
Because you can like see years ago.,Because you cannot like see the material years ago.,Complete the sentence: Because you can like see years ago.,57.64947269407729,0.8293225,Complete the sentence: Because you can like see years ago.,Complete the sentence: Because you can see years ago.
It was do my point of that be.,So it was done my point of all that was.,unacceptable,4.28921568627451,0.65263224,unacceptable,unacceptable
I would say,I would say not.,I would say,66.01764142221674,0.81001127,I would say,I would say.
You can wait.,You can wait.,Complete the sentence: You can wait.,67.73514618499955,0.93794143,Complete the sentence: You can wait.,You can wait.
I get it.,I got it.,Complete this sentence: I get it.,22.71840571817464,0.9080349,Complete this sentence: I get it.,acceptable. Complete this sentence: I get it.
Because my fuel pump be electric used be.,Because my fuel pump is now electric never used to be.,unacceptable,5.331361471595638,0.6221467,acceptable,acceptable
