Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,That is what i would do i would pick it up at night.,74.7795009804664,0.92737913,That is what i would do i would pick it up late at night.,That is what i would do i would pick it up night.,88.91640710872504
We stay up three thirty night.,We stayed up till like three thirty last night.,We stay up for three thirty nights.,43.660475997895574,0.8959211,We stay up for three thirty night.,We stay up for three thirty night.,97.26009447123425
So those means that its parent.,So that means that most of your parents.,So that means that its parent.,56.99867777682196,0.83738786,So that means that its parent.,So that means that its parent is not.,87.51301515656937
If you have studio apartment you are stuck it.,If you have a studio apartment you are stuck with it.,If you have a studio apartment you are stuck in it.,86.28800103180528,0.9671123,If you have a studio apartment you are stuck in it.,If you have a studio apartment you are stuck with it.,90.73373995502327
When they quit going lewiston week.,When they quit going to lewiston every week.,When they quit going to lewiston this week.,78.41525565615682,0.946979,When they quit going to lewiston week.,When they quit going to lewiston for the week.,81.39962639955725
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They come they will be pretty shocked.,72.13505065311246,0.96066046,They come they will be pretty shocked.,They come to they will be pretty shocked.,92.67242539719975
It will be kind a pain getting.,It will be kind of a pain getting the.,It will be kind of a pain getting there.,96.0785824535696,0.9152063,It will be kind of a pain getting.,It will be kind of a pain getting.,95.08016565164459
Have decide that is his herd.,Has decided that is his mare herd.,Have decided that is his herd.,66.07011307811888,0.9298692,Have decided that is his herd.,Have to decide that is his herd.,80.0102534652462
And they do not have third editors.,And then they do not have the third editor.,And they do not have a third editor.,71.38849670040071,0.92714715,And they do not have a third editor.,And they do not have a third editor.,100.0
One and she is got a lot.,To this one and she is still got a lot more.,One and she is got a lot.,42.08227651792066,0.8996204,One and she is got a lot.,One and she is got a lot.,100.0
So there be a history here.,So there is a long history here.,So there is a history here.,74.17701308603837,0.9528131,So there is a history here.,So there is a history here.,100.0
I mean kid was he looked like.,I mean this kid was he looked like a.,I mean the kid was he looked like.,76.67924853152545,0.9512789,I mean the kid was he looked like.,I mean kid was he looked like.,90.55076404306332
But i do know if this was number two.,But i do not know if this was really number two.,But i do not know if this was number two.,78.41629494885616,0.97793496,But i do not know if this was number two.,But i do not know if this was number two.,100.0
Because you can like see years ago.,Because you cannot like see the material years ago.,Because you can like to see years ago.,52.26655129812136,0.85611457,Because you can like to see years ago.,Because you can like to see that year ago.,81.70882738698562
Because my fuel pump be electric used be.,Because my fuel pump is now electric never used to be.,Because my fuel pump is electric like used to be.,70.00440271449641,0.9429228,Because my fuel pump is not electric like used to be.,Because my fuel pump is electric used to be.,86.29313612127507
Alright you little shit i be going throw you wall.,Alright you little shit i am going to throw you against this wall.,Alright you little shit i am going to throw you a wall.,78.64399525703124,0.97360694,Alright you little shit i am going to throw you a wall.,Alright you little shit i am going to throw you a wall.,100.0
It take lo time teach them to work.,It takes a lo time to teach them how to work together.,It takes a lot of time to teach them to work.,63.742250395674624,0.934909,It takes a lo time to teach them to work.,It takes a long time to teach them to work.,87.7593260517449
There is like tamara that shop.,There is like tamara that sandwich shop.,There is like tamara in that shop.,64.11319378730086,0.8990816,There is like tamara that shop.,There is like tamara that shop.,91.47585893263883
Then winds died and it be calm.,Then the wind died down and it was completely calm.,Then the winds died down and it was calm.,66.74755155532242,0.9588615,Then the winds died down and it was calm.,Then the winds died down and it was still calm.,86.72269023750279
I go and see their house night.,I went and saw their house the other night.,I went and saw their house the night before.,74.94148772649672,0.9555112,I went and saw their house the night before.,I went to see their house the night before.,84.52027942107789
Thaand these is that kick on side like that water.,Thaand that is that kicked up on the side like that the water.,Thaand this is that kick on the side like that water.,66.78771133209545,0.95150596,Thaand this is that kick on the side like that water.,Thaand this is that kick on side like that water.,94.5481043103142
And i will hand your documents.,And i will hand back your documents.,And i will hand you your documents.,76.43819561672122,0.9456452,And i will hand you your documents.,And i will hand you all your documents.,88.08407101481883
Which show that my lack history.,Which shows that my lack of history.,Which shows that my lack of history.,100.0,1.0000002,Which shows that my lack of history.,Which shows that my lack of history.,100.0
So you got go this time.,So you got to go this time.,So you got to go this time.,100.0,1.0000002,So you got to go this time.,So you got to go this time.,100.0
And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,And uh we are pulling and i see the girls.,70.96606141115767,0.8810814,And uh we are pulling and i see the girls.,And uh we are pulling and i see girls.,94.55084974467896
I get up so i think these be probably.,When i got up so i thought that is probably not good.,I got up so i think these are probably probably.,37.54520779796421,0.80796635,I got up so i think these are probably probably.,I got up so i think this is probably probably.,87.12505299049629
We have a lots catch up.,We have a lot to catch up on.,We have a lot of catch up.,64.06828873488384,0.91358334,We have a lot of catch up.,We have a lot of catch up to do.,86.13338094809153
I think you guy put it.,I think you guys put it in.,I think you guys put it there.,81.77307635640827,0.94587815,I think you guys put it in there.,I think you guys put it.,85.60591453368673
And green and peppers cut up.,And um green and red peppers cut up.,And green and peppers cut up.,69.13211347169931,0.9808292,And green and peppers cut up.,And green and peppers cut up in.,92.71820093785755
I would hate bounce a check.,I would hate to bounce a check.,I would hate to bounce a check.,100.0,1.0000002,I would hate to bounce a check.,I would hate to bounce a check at.,93.03252175158877
Time you go bed last nights.,Time you go to bed last night.,When you went to bed last night.,61.71509265605511,0.93435216,When you went to bed last night.,When you went to bed last night.,100.0
And kid had to do was get her through.,And all the kids had to do was get her through.,And the kid had to do was to get her through.,68.17709695048423,0.8983035,And the kid had to do was to get her through.,And the kid had to do was to get her through.,100.0
My case amelia gonzalez um uh that happen in ninety.,In our first case amelia gonzalez um that uh that happened back in ninety.,My case amelia gonzalez um uh that happened in ninety.,63.97101578824391,0.93995434,My case amelia gonzalez um uh that happened in ninety.,My case is amelia gonzalez um uh that happened in ninety.,93.6137282306511
Have had tool he have that overlap.,Has never had a tool where he had that overlap.,Have had a tool he has that overlaps.,50.73602897486279,0.8401265,Have had a tool he has that overlaps.,Have had a tool he has that overlapped.,91.92615893234422
And that it sound but it be hard do.,And that it sounds easy but it is really hard to do.,And that it sounds so good but it is hard to do.,62.2595885352405,0.9096653,And that it sounds like it is hard to do.,And that it sounds like but it is hard to do.,79.39891280421672
Because it would be nice have heats in here meantime.,Because it would be nice to have heat in here in the meantime.,Because it would be nice to have heat in here in the meantime.,100.0,1.0000001,Because it would be nice to have heat in here in the meantime.,Because it would be nice to have heat in here in the meantime.,100.0
You know i have get this week.,You know i had to get really tough in this last week.,You know i have got this this week.,35.51447852327843,0.78200316,You know i have got this last week.,You know i have got this week.,84.82537373125238
Kids that i receive be the three thirdgrader education.,The kids that i receive are the three thirdgraders of the lowest education.,The kids that i receive are the three thirdgrader education.,79.06981898004878,0.918682,The kids that i receive are the three third graders.,The kids that i receive are the three third graders who are in school.,80.2528310321328
But you know when there is that ones.,But you know when there is that many little ones.,But you know when there is that one.,66.79228083219633,0.78735536,But you know when there is that one.,But you know when there is that one.,100.0
See i be pe teacher but.,See i am originally a pe teacher but.,See i am a pe teacher but.,58.19377938144298,0.95602465,See i am a pe teacher but.,See i am a pe teacher but.,100.0
But one thing we have to be.,But one thing we have to be careful of.,But one thing we have to be.,69.73943150423221,0.8317326,But one thing we have to be.,But one thing we have to be careful about.,72.99347667194684
And i will try to i will get hold two.,And then i will try to i will get hold of two more.,And i will try to i will get hold of two.,73.29977310697939,0.96946055,And i will try to i will get hold of two.,And i will try to i will get hold of the other two.,83.7540513862102
And we report how sales we had and they.,And we report how much in sales we had and they.,And we report how much sales we had and they.,88.05371765891114,0.99565315,And then we report how much sales we had and they.,And we report how much sales we had and they all.,86.62387191394846
Some surgeon were going and put them back.,Some of these orthopedic surgeons were going and putting them in the back.,Some surgeon was going to put them back.,29.179902598302043,0.8864849,Some surgeon was going to put them back.,Some surgeon was going to put them back together.,86.0748069303217
I feel that uh margaret is.,So i felt that uh margaret is.,I feel that uh margaret is.,73.61649558940611,0.9710783,I feel that uh margaret is not.,I feel that uh margaret is great.,80.83827450966999
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,Thereby conceptualize will be similar to a mas.,58.30899527087621,0.7811402,Thereby conceptualize will be similar to a mas.,Thereby conceptualize will be like a mas.,86.04588912300473
Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Fish are running do you want to come and blah blah blah blah.,63.08236567503781,0.92286587,Fish are running do you want to come and blah blah blah.,Fish are running do you want to come and blah blah blah blah blah.,92.66138266986225
I do not have try grab him heads.,I do not have to try to grab him around the head.,I do not have to try to grab him in the head.,77.9610309770085,0.9902841,I do not have to try to grab him in his head.,I do not have to try to grab him in the head again.,80.22683524183492
Sat it i think no lemon.,Sat it down i thought no lemon.,Sat it i think no lemon.,41.533586136450516,0.9420982,Sat it i think no lemon.,Sat it i think no lemon.,100.0
And they said oh that is.,And they said oh that is good.,And they said oh that is.,80.29262718195105,0.89496017,And they said oh that is awesome.,And they said oh that is really.,72.56800579071314
So he is i es si.,So he is i es a si.,So he is i es si.,70.31903329949346,0.98782945,So he is i es si.,So he is i es si.,100.0
Well they were transferring power india were not they.,Well they were transferring the power in india were not they.,Well they were transferring power to india were not they.,80.4267332862726,0.98815566,Well they were transferring power to india were not they?,Well they were transferring power to india weren't they.,93.30312865789992
He testified trial youm five years ago.,He testified in a trial youm about five years ago.,He testified at trial youm five years ago.,69.14497032239993,0.9887885,He testified at trial youm five years ago.,He testified in trial youm five years ago.,90.55864452330297
I am taking and spaces balloon.,I am sorry taking up more and more space inside these balloons.,I am taking and the space balloon.,34.41027895613444,0.77609336,I am taking and the spaces balloon.,I am taking and the spaces balloon.,91.33916502623617
They film movie at oakland catholic.,They filmed a movie at oakland catholic.,They film the movie at oakland catholic.,82.68284266634149,0.9875095,They film the movie at oakland catholic.,They film this movie at oakland catholic.,90.83501433213507
That be because i mean going from being handf.,That is really interesting because i mean going from being handfed.,That is because i mean going from being handf.,63.276172769678055,0.8497236,That is because i mean going from being handf.,That is because i mean going from being handf.,100.0
Righteousnesses he have fill for you.,The righteousness he had to fill for you.,The righteousness he has filled for you.,75.002149471883,0.9619094,Righteousness he has filled for you.,The righteousness he has to fill for you.,79.31435544999226
Now i am i am forgetting his shoes.,Now i am not worried i am forgetting my shoes.,Now i am i am forgetting his shoes.,53.31677757322011,0.81946516,Now i am i am forgetting his shoes.,Now i am i am forgetting his shoes.,100.0
Yeah but why do not you just put.,Yeah but why do not you just put the other.,Yeah but why do not you just put the.,84.06121431819138,0.9327135,Yeah but why do not you just put that in.,Yeah but why do not you just put that.,90.28176326211465
Oh and this turn hard bones.,Oh and then that turns into hard bone.,Oh and this turns into hard bones.,68.15165320719788,0.9631911,Oh and this turns into a hard bone.,Oh and this turns into a hard bone.,88.27756248046103
And he do know what do situation.,And he does not know what to do about this whole situation.,And he does not know what to do in this situation.,69.52948792014723,0.9724122,And he does not know what to do in this situation.,And he does not know what to do in that situation.,91.84457737089316
That be why i take rock over here.,That is why i took out all these rocks over here.,That is why i took the rock over here.,61.24431685616598,0.8560414,That is why i took the rock over here.,That is why i took a rock over here.,89.84241143107893
And she go on explain she say she be too.,And then she went on to explain she said maybe she was too strong.,And she goes on to explain she says she is too.,40.99882718219683,0.7934585,And she goes on to explain she says she is too.,And she goes on to explain she said she was too.,84.20636770375016
See you are new creatures christ because you are united him.,See you are a new creature in christ because you are united to him.,See you are a new creature christ because you are united with him.,83.24207846875781,0.9856199,See you are a new creature christ because you are united with him.,See you are a new creature christ because you are united to him.,93.88048409993672
