Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,I would pick it night.,28.503076695938205,0.84837294,I would pick it up in the dark.,I would pick it up in the morning.
We stay up three thirty night.,We stayed up till like three thirty last night.,We watch tv all night.,15.885817116802667,0.79244274,We watch tv all night long.,We watch tv all day.
So those means that its parent.,So that means that most of your parents.,It means that it has a parent.,42.099663193200776,0.79182935,It means that it's parent.,It means that it's a child.
If you have studio apartment you are stuck it.,If you have a studio apartment you are stuck with it.,"You can't do anything about it, but that doesn't mean you can't do something about it.",18.685597510207028,0.7185612,You can't do anything about it.,"You can't do anything about it, but that doesn't mean you can't make it work."
This looks good.,That looks good.,I'm glad I could help you.,8.658008658008658,0.6878766,I'm glad I could help.,I'm glad I could help you with that.
When they quit going lewiston week.,When they quit going to lewiston every week.,They started going to lewiston every week.,69.63945381815556,0.82768667,They started going to lewiston every day.,They started going to lewiston every weekend.
This bothers me great deals.,That bothers me a great deal.,This bothers me great deals.,62.38292123589606,0.9619085,This bothers me a lot.,This bothers me a great deal.
And do their things.,And to do their things.,They will have to do their chores.,39.00605375745501,0.82054687,They have to work.,They will have to do their job.
Check everything out.,Checked everything out.,It's a lot of work.,5.05050505050505,0.6634532,It's a mess.,It's a lot of stuff.
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They will be blown away by the fact that it is so big.,26.54388244959074,0.831382,They will be blown away by the sight.,They will be so surprised.
It will be kind a pain getting.,It will be kind of a pain getting the.,It will be kind a pain getting.,71.73799856993044,0.9743445,It will be kind of a pain getting.,It will be kind a pain getting to the airport.
And we take him.,And we took him to the.,He's the only one who can help us.,11.968994109771428,0.7371862,He's the only one who knows how to do it.,He's the only one who can help us now.
Have decide that is his herd.,Has decided that is his mare herd.,Have decide that is his herd.,52.51652570107027,0.93534464,Have decide that is his herd.,Have decided that is his herd.
And they do not have third editors.,And then they do not have the third editor.,They do not have third proofreaders.,47.315976825505565,0.86537313,They do not have editors.,They do not have any third editors.
But i have go.,But i have to go.,I have a meeting.,21.541934731158722,0.7955245,I have a meeting tomorrow.,I have a meeting tomorrow morning.
One and she is got a lot.,To this one and she is still got a lot more.,She is a good friend of mine.,15.443499608494918,0.72528994,She is a good friend.,She is a good friend.
Oh you need huhs.,Oh you needed that huh.,You need huhs.,29.05156842936903,0.8188591,You need a huhs.,You need a huh.
So there be a history here.,So there is a long history here.,So there be a history here.,61.546557777074696,0.9194207,There be a history here.,So there be a history here.
I mean kid was he looked like.,I mean this kid was he looked like a.,I mean kid was he looked like.,70.60066019594228,0.94567597,I mean kid was he looked like.,I mean kid was he.
But i do know if this was number two.,But i do not know if this was really number two.,I'm not sure if this was number two.,45.80601612005631,0.96920574,I'm not sure if it was number two.,I am not sure if it was number two.
Because you can like see years ago.,Because you cannot like see the material years ago.,You can like see years ago.,37.05332857795957,0.8411393,You can like see years ago. Because you can like see years ago.,You can like see years ago. You can like see years ago.
It was do my point of that be.,So it was done my point of all that was.,It was do my point of that be.,43.526224124747266,0.8663864,It was do my point of that be.,It was do my point of that be.
I would say,I would say not.,"I like the idea of a jigsaw puzzle, but I don't know how to make one.",11.085448403232661,0.62363935,"I like the idea of a jigsaw puzzle, but I don't know how to build one.","I like the idea of a jigsaw puzzle, but I don't like the idea of being "
You can wait.,You can wait.,I'll be there in a minute.,7.692307692307692,0.74831915,I'll be there in a moment.,I'll be there in a second.
I get it.,I got it.,You had to do a lot of work.,8.70070250322351,0.6870258,You had to do a lot of reading.,You had to do a lot of work for that.
Because my fuel pump be electric used be.,Because my fuel pump is now electric never used to be.,The fuel pump was not working properly.,21.856332872534615,0.8094251,The fuel pump was not working.,The fuel pump was not working properly anymore.
Alright you little shit i be going throw you wall.,Alright you little shit i am going to throw you against this wall.,I be going to throw you wall.,33.23012193306544,0.9105875,I be going to throw you a wall.,I be going to throw you shit.
Those be things i said.,That was the first thing i said.,Those be things i said.,30.20241688551789,0.8132308,Those be things i said.,Those be the things i said.
Bring the bottle.,Bring the bottles.,I'm going to have a drink.,17.51491563893478,0.7706548,I'm going to the store.,I'm going to the bar.
You do it.,You did it too much.,You do it.,18.39559336346344,0.7241056,You're the boss.,You're the best.
I have it store.,I have it at the store.,I want to buy it.,10.968288177339902,0.79106873,I want to buy it right now.,I want to buy it right away.
It take lo time teach them to work.,It takes a lo time to teach them how to work together.,It is difficult to teach them to work.,35.293820528908086,0.86597705,It is difficult to get them to work.,It is difficult to teach them.
There is like tamara that shop.,There is like tamara that sandwich shop.,There is like tamara that shop.,72.65264497001243,0.89159924,There is a tamara that shop.,There is like tamara that store.
I mean greg.,I mean greg.,I didn't mean greg.,75.34123959144695,0.88607514,I didn't mean you.,I didn't mean to be rude.
Then winds died and it be calm.,Then the wind died down and it was completely calm.,It was a nice day.,9.77588861721065,0.7547723,It was a very beautiful day.,It was a nice day to sit on the porch.
You probably could get todays.,You probably could not get that today.,You're so impatient.,9.235349181052886,0.6509824,You're so lazy.,You're so impatient!
I go and see their house night.,I went and saw their house the other night.,I want to go to their house.,33.224492536502325,0.8264693,I want to go to their house for the first time.,I want to go to their house for a while.
There be just one.,No there is just one.,There be just one.,48.82090971281909,0.9021286,There be just one.,There be just one person.
Thaand these is that kick on side like that water.,Thaand that is that kicked up on the side like that the water.,Thaand these is that kick on side like that water.,59.94567999314457,0.93766785,Thaand these is that kick on side like that water.,Thaand these is that kick on side like that water. Thaand these is that kick on side like that water.
They are than i think.,They are higher than i thought.,They are a lot taller than i think.,48.41353414477137,0.9032965,They are a lot taller than i am.,They are a lot taller than i thought.
And i will hand your documents.,And i will hand back your documents.,I will hand your documents.,64.55611664526344,0.93603265,I will hand your documents to you.,I will hand your documents to the police.
Which show that my lack history.,Which shows that my lack of history.,Which show that my lack history.,71.56781347953867,0.97126526,Which show that my lack of history.,Which show that my lack knowledge.
So you got go this time.,So you got to go this time.,You can't just sit there.,12.896825396825399,0.7366788,You can't just sit there and complain about it.,You can't just sit there and complain.
Like shoots say twentyfive or.,Like shoot for say twentyfive or.,Like shoots say twentyfive or.,79.12013493022783,0.90867317,Like shoots say twenty five or.,"Like shoots, say twentyfive or."
And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,And uh we are pull and i see girls.,57.47395613486211,0.85373795,And uh we are pull and i see girls.,And uh we are pull and uh i see girls.
I get up so i think these be probably.,When i got up so i thought that is probably not good.,I want to go to the store.,10.736109016377023,0.67214143,I want to go to bed.,I want to go to work.
Well turn them.,Well turn them up.,We'll turn them.,64.78474717036589,0.8209336,We'll turn them around.,"We'll turn them, but we won't let them go."
I be oh shoet.,I was like oh shoot.,I be oh shoet.,31.1508824540985,0.8148886,I be oh shoet.,I be oh shoet.
Problems go out.,The problem going out.,Problems go away.,25.073263112838372,0.79576063,Problems go out.,Problems are gone.
We have a lots catch up.,We have a lot to catch up on.,We need to do a lot of work.,15.750760106739357,0.83847225,We need to do a lot of homework.,We need to do a lot of work on the house.
I think you guy put it.,I think you guys put it in.,I think you guy put it.,66.62928062461711,0.94722974,I think you guy put it. I think you guy put it.,I think you guy put it. - I think you guy put it.
And green and peppers cut up.,And um green and red peppers cut up.,You can use any type of cheese you like.,10.75726353040401,0.7228171,You can use any type of cheese you want.,You can use any type of cheese.
I would hate bounce a check.,I would hate to bounce a check.,I always write out a check before I give it to the cashier.,23.493406001002963,0.8000314,I always write out a check before I leave the bank.,I always write out a check before I leave the house.
It be go be,It is going to be hard to.,We be go be a lot of fun.,13.034628436951529,0.68213266,We be go be a good time.,We be go be a lot of fun.
Time you go bed last nights.,Time you go to bed last night.,You were up all night.,21.800812026865227,0.8436326,You were up all night drinking.,You were up all night drinking with friends.
That be that be.,That is that is very true.,That be that be.,21.65765673735406,0.83308196,That be that be.,That be that be.
And kid had to do was get her through.,And all the kids had to do was get her through.,She was such a good student.,12.789038544468214,0.7559375,She was such a good girl.,She was such a good kid.
I thought why.,I thought why.,I don't know.,7.062146892655368,0.7265055,I don't want to go there.,I don't want to go.
